2020-05-13 , 20:1 , 0
2020-05-14 , 6:58 , 23
2020-05-14 , 19:40 , 71
2020-05-17 , 14:24 , 50
2020-05-17 , 14:27 , 50
2020-05-18 , 15:9 , 50
2020-05-28 , 16:11 , 72
2020-06-01 , 15:32 , 64
2020-06-04 , 16:58 , 3848
2020-06-04 , 17:2 , 178
2020-06-02 , 21:42 , 50
2020-06-05 , 18:31 , 803
2020-06-23 , 16:34 , 0
